# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	12808	BRD1	48	9.465780e-6	1.777390e-1	3.702895e-3	4.560764e+0	2.850400e+0	13	3.485875e-4	1.589825e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_preGran_Supp_Missing_Endo_MesLHX9_MesGATA2_Neuro_Germ,ovary_MesGATA2_Supp_MesLHX9_Missing_Endo_preGran_PV_CoelEpi_Neuro_Epi_Germ,ovary_MesLHX9_CoelEpi_Missing_MesGATA2_Supp_Endo_preGran_Neuro_PV_Epi,ovary_MesLHX9_MesGATA2_preGran_CoelEpi_PV_Missing_Supp_Neuro_Epi_Endo_SMC,ovary_MesLHX9_Supp_Missing_Endo_preGran_MesGATA2_CoelEpi_PV_Neuro_Immune_SMC_Epi,ovary_MesLHX9_Supp_preGran_Endo_MesGATA2_CoelEpi_Missing_Neuro_Epi,ovary_Missing_Supp_preGran_MesGATA2_CoelEpi_MesLHX9_Endo_PV_Neuro_Epi_SMC,ovary_Supp_MesLHX9_MesGATA2_Epi_preGran_CoelEpi_PV_Missing_Neuro_Endo,ovary_Supp_Missing_preGran_MesGATA2_MesLHX9_CoelEpi_Neuro_Epi_PV_Endo,ovary_Supp_preGran_CoelEpi_MesLHX9_Endo_MesGATA2_Missing_Neuro_Epi_SMC_PV,ovary_Supp_preGran_MesLHX9_Endo_MesGATA2_Missing_CoelEpi_Neuro_Epi_PV,ovary_preGran_MesLHX9_MesGATA2_Missing_PV_CoelEpi_Supp_Endo_Neuro_Epi_SMC,ovary_preGran_MesLHX9_Supp_Missing_MesGATA2_CoelEpi_PV_Epi_Neuro_Endo_SMC	BRD1
Ensembl Genes	11610	AGXT	49	9.901675e-6	1.859238e-1	3.794362e-3	1.279047e+1	4.690993e-1	6	5.736814e-5	7.337654e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_Supp_preGran_MesGATA2_Missing_PV_Neuro_Epi_Endo_SMC,ovary_MesLHX9_Missing_Supp_MesGATA2_preGran_PV_CoelEpi_Neuro_Endo_Epi,ovary_MesLHX9_Supp_preGran_MesGATA2_Missing_CoelEpi_Epi_Neuro_Endo_Immune,ovary_PV_MesGATA2_MesLHX9_Missing_preGran_Supp_Neuro_Epi,ovary_PV_MesLHX9_MesGATA2_Supp_preGran_CoelEpi_Endo_Missing_Neuro_Epi_Immune_Germ,ovary_Supp_CoelEpi_MesGATA2_preGran_Missing_MesLHX9_Neuro_Epi_PV	AGXT
Ensembl Genes	13274	ERC2	50	1.009220e-5	1.895012e-1	3.790025e-3	4.228819e+0	3.310617e+0	14	4.048694e-4	1.712119e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_preGran_MesGATA2_Supp_MesLHX9_Missing_Neuro_SMC,ovary_Endo_MesGATA2_preGran_CoelEpi_Neuro_MesLHX9_Epi_Missing_PV_SMC_Supp_Immune,ovary_MesGATA2_MesLHX9_Missing_Supp_preGran_CoelEpi_PV_Endo_Epi_Neuro,ovary_MesLHX9_CoelEpi_Supp_MesGATA2_preGran_PV_Missing_Endo_Neuro_Epi,ovary_MesLHX9_MesGATA2_Missing_preGran_CoelEpi_Supp_Endo_SMC_Neuro,ovary_MesLHX9_PV_CoelEpi_MesGATA2_preGran_Supp_Endo_Missing_Neuro_Immune_Epi,ovary_MesLHX9_Supp_CoelEpi_preGran_PV_MesGATA2_Missing_Endo_Neuro_Epi_Immune,ovary_MesLHX9_preGran_MesGATA2_PV_Missing_Endo_CoelEpi_Supp_Neuro,ovary_MesLHX9_preGran_Missing_MesGATA2_CoelEpi_PV_Supp_Endo_Neuro_Epi_Germ,ovary_Missing_CoelEpi_preGran_MesLHX9_Supp_MesGATA2_PV_Germ_Epi_Neuro,ovary_Supp_MesLHX9_MesGATA2_preGran_Missing_PV_CoelEpi_Epi_Neuro,ovary_Supp_MesLHX9_preGran_CoelEpi_MesGATA2_Missing_Endo_Neuro_PV,ovary_preGran_Endo_Supp_MesGATA2_CoelEpi_Neuro_PV_Epi_MesLHX9,ovary_preGran_MesGATA2_CoelEpi_MesLHX9_Endo_Supp_Missing_PV_Neuro_Immune_SMC_Epi	ERC2
Ensembl Genes	15474	TSPAN17	51	1.043388e-5	1.959170e-1	3.841509e-3	1.267145e+1	4.735056e-1	6	5.790701e-5	7.337654e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_preGran_MesGATA2_Missing_Supp_Neuro_Endo_Epi_Germ,ovary_Endo_MesLHX9_Supp_MesGATA2_CoelEpi_preGran_Missing_Neuro_PV_Epi_Immune,ovary_MesLHX9_preGran_Supp_PV_CoelEpi_Missing_Neuro_MesGATA2_Endo_Epi,ovary_Missing_MesGATA2_MesLHX9_preGran_Supp_CoelEpi_Neuro_PV_Epi,ovary_preGran_Supp_CoelEpi_MesGATA2_MesLHX9_Missing_PV_Endo_Neuro,ovary_preGran_Supp_MesLHX9_MesGATA2_Missing_Neuro_CoelEpi_Epi_Immune	TSPAN17
Ensembl Genes	1492	LMX1A	52	1.068491e-5	2.006306e-1	3.858280e-3	4.879261e+0	2.459389e+0	12	3.007691e-4	1.467531e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_Endo_MesGATA2_preGran_Missing_Supp_PV_Neuro_Epi,ovary_CoelEpi_MesLHX9_preGran_MesGATA2_PV_Supp_Missing_Neuro,ovary_MesLHX9_CoelEpi_Supp_PV_MesGATA2_Missing_Endo_preGran_Neuro_Epi,ovary_MesLHX9_Endo_MesGATA2_preGran_Supp_Missing_Neuro_CoelEpi_PV,ovary_MesLHX9_Missing_MesGATA2_Endo_PV_Supp_Germ_CoelEpi_Neuro_preGran,ovary_MesLHX9_Supp_preGran_CoelEpi_MesGATA2_Endo_Missing_Neuro_Epi_Immune,ovary_MesLHX9_preGran_CoelEpi_MesGATA2_Supp_Missing_Neuro_PV_Epi_SMC_Endo,ovary_PV_MesLHX9_Supp_MesGATA2_CoelEpi_preGran_Missing_Endo_Neuro_Epi_Immune,ovary_Supp_CoelEpi_MesGATA2_MesLHX9_preGran_PV_Missing_Neuro_Epi,ovary_preGran_MesLHX9_MesGATA2_CoelEpi_PV_Missing_Supp_Endo_Epi,ovary_preGran_Supp_CoelEpi_MesGATA2_Endo_Missing_PV_MesLHX9_Germ_Neuro_Epi,ovary_preGran_Supp_MesLHX9_MesGATA2_Missing_PV_Endo_Neuro_CoelEpi	LMX1A
Ensembl Genes	14001	PSAPL1	53	1.157789e-5	2.173980e-1	4.101850e-3	5.301754e+0	2.074785e+0	11	2.537343e-4	1.345237e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_MesLHX9_Supp_PV_Missing_preGran_Neuro_Germ,ovary_MesGATA2_Supp_MesLHX9_preGran_CoelEpi_Endo_Missing_Neuro_Epi,ovary_MesLHX9_Missing_preGran_PV_Supp_MesGATA2_CoelEpi_Neuro_Immune_Epi,ovary_MesLHX9_Supp_MesGATA2_CoelEpi_preGran_Missing_Neuro_PV_Immune,ovary_MesLHX9_Supp_preGran_MesGATA2_Missing_CoelEpi_Endo_PV_Neuro_Epi,ovary_MesLHX9_Supp_preGran_Missing_PV_CoelEpi_MesGATA2_Neuro_Endo_SMC,ovary_MesLHX9_preGran_Supp_CoelEpi_MesGATA2_Missing_Endo_Neuro_Immune,ovary_Supp_CoelEpi_Missing_MesGATA2_MesLHX9_preGran_PV_Neuro_SMC_Epi,ovary_Supp_MesLHX9_preGran_MesGATA2_CoelEpi_Missing_PV_Epi_Neuro_Endo_Immune,ovary_Supp_preGran_MesLHX9_MesGATA2_CoelEpi_PV_Missing_Endo_Neuro,ovary_preGran_MesLHX9_Missing_CoelEpi_MesGATA2_Endo_Supp_PV_Epi_Neuro	PSAPL1
Ensembl Genes	12137	CHRNA4	54	1.319311e-5	2.477270e-1	4.587538e-3	1.215053e+1	4.938056e-1	6	6.038958e-5	7.337654e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_preGran_Supp_MesGATA2_PV_Missing_Neuro_Epi_Endo,ovary_CoelEpi_Supp_preGran_MesLHX9_MesGATA2_Epi_PV_Endo_Missing_Immune_Neuro_SMC,ovary_MesLHX9_Supp_MesGATA2_preGran_CoelEpi_Missing_PV_Epi_Neuro_Endo,ovary_Supp_MesGATA2_preGran_MesLHX9_Endo_CoelEpi_Missing_PV_Neuro_Immune_Epi,ovary_Supp_MesLHX9_MesGATA2_preGran_CoelEpi_Missing_Endo_Neuro_Epi_PV,ovary_Supp_preGran_Endo_MesGATA2_MesLHX9_CoelEpi_Missing_PV_Epi_Neuro_Immune	CHRNA4
Ensembl Genes	6819	CLEC16A	55	1.438958e-5	2.701931e-1	4.912603e-3	7.623936e+0	1.049327e+0	8	1.283266e-4	9.783539e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_CoelEpi_Supp_preGran_Missing_MesLHX9_Endo_Neuro_Epi_Immune,ovary_MesGATA2_MesLHX9_Missing_Endo_preGran_PV_CoelEpi_Supp_Neuro_Epi_Immune,ovary_MesLHX9_CoelEpi_MesGATA2_PV_preGran_Supp_Neuro_Germ_Endo_Epi_Missing,ovary_MesLHX9_Endo_Supp_CoelEpi_MesGATA2_preGran_Missing_Neuro_Epi,ovary_MesLHX9_MesGATA2_CoelEpi_preGran_Supp_Missing_PV_Neuro_Epi_Endo,ovary_MesLHX9_preGran_Missing_Endo_MesGATA2_Supp_CoelEpi_PV_Neuro_Immune_Epi,ovary_Supp_MesGATA2_Endo_MesLHX9_PV_preGran_Missing_CoelEpi_Neuro_SMC_Epi,ovary_preGran_Supp_MesLHX9_CoelEpi_MesGATA2_Missing_Neuro_Endo_Epi_PV_SMC	CLEC16A
Ensembl Genes	5062	FBRSL1	56	1.572481e-5	2.952648e-1	5.272585e-3	9.139138e+0	7.659366e-1	7	9.366963e-5	8.560597e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_preGran_MesGATA2_Missing_Supp_Neuro_PV_Epi_Endo,ovary_MesGATA2_CoelEpi_Supp_preGran_MesLHX9_Missing_Neuro_Epi_PV_Endo_Immune_Germ,ovary_MesLHX9_PV_MesGATA2_Supp_preGran_Missing_CoelEpi_Neuro_Endo_Epi,ovary_PV_Supp_preGran_MesLHX9_CoelEpi_MesGATA2_Endo_Missing_Neuro_Epi,ovary_PV_preGran_Endo_Missing_MesGATA2_MesLHX9_CoelEpi_Epi_Supp_Neuro_Immune,ovary_preGran_MesGATA2_CoelEpi_PV_MesLHX9_Endo_Supp_Immune_Neuro_SMC_Missing_Epi,ovary_preGran_MesLHX9_CoelEpi_MesGATA2_Supp_Missing_Endo_PV_Epi_Neuro	FBRSL1
Ensembl Genes	15622	JARID2	57	1.670872e-5	3.137396e-1	5.504204e-3	3.806409e+0	3.940722e+0	15	4.819276e-4	1.834414e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_preGran_MesLHX9_CoelEpi_Missing_Supp_Endo_Neuro_Epi,ovary_MesLHX9_MesGATA2_preGran_Supp_PV_Missing_Neuro_CoelEpi_Endo_Germ_Epi,ovary_MesLHX9_Missing_Supp_MesGATA2_preGran_CoelEpi_Endo_Neuro_PV_Epi,ovary_MesLHX9_Supp_CoelEpi_preGran_MesGATA2_Missing_PV_Neuro_Epi_Immune,ovary_MesLHX9_Supp_MesGATA2_preGran_CoelEpi_Missing_Endo_PV_Neuro_Immune,ovary_MesLHX9_Supp_preGran_Missing_CoelEpi_MesGATA2_Neuro_PV_Epi_Endo,ovary_Missing_CoelEpi_MesGATA2_MesLHX9_Supp_preGran_Endo_PV_Neuro,ovary_Missing_MesLHX9_Supp_preGran_MesGATA2_CoelEpi_Epi_Endo_PV_Neuro_Immune,ovary_PV_MesLHX9_Missing_MesGATA2_CoelEpi_preGran_Supp_Endo_Neuro_Germ_Epi,ovary_Supp_MesLHX9_MesGATA2_preGran_Endo_Missing_CoelEpi_Epi_Neuro_Immune,ovary_Supp_Missing_MesGATA2_MesLHX9_CoelEpi_preGran_Endo_PV_Epi,ovary_preGran_CoelEpi_MesLHX9_Supp_MesGATA2_Missing_PV_Neuro_Epi,ovary_preGran_Missing_CoelEpi_MesGATA2_MesLHX9_Supp_PV_Neuro_Immune_Endo_Epi_Germ,ovary_preGran_PV_Supp_MesGATA2_MesLHX9_CoelEpi_Missing_Endo_Neuro_Epi_Immune,ovary_preGran_Supp_MesLHX9_Endo_MesGATA2_CoelEpi_Missing_PV_Epi_Neuro_Immune	JARID2
Ensembl Genes	8581	RPTOR	58	1.681524e-5	3.157398e-1	5.443789e-3	6.399677e+0	1.406321e+0	9	1.719849e-4	1.100648e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesGATA2_Supp_MesLHX9_PV_Missing_Neuro_Endo_Immune_preGran,ovary_Endo_MesGATA2_MesLHX9_Supp_preGran_CoelEpi_Missing_PV_Neuro_SMC_Germ_Epi,ovary_MesLHX9_CoelEpi_MesGATA2_Supp_Endo_Missing_preGran_Neuro_PV_Immune_Epi,ovary_MesLHX9_MesGATA2_preGran_Supp_CoelEpi_Neuro_PV_Missing_Epi,ovary_MesLHX9_Supp_preGran_MesGATA2_CoelEpi_Epi_Missing_PV_Germ_Immune_Neuro_Endo_SMC,ovary_Supp_MesLHX9_CoelEpi_preGran_Endo_MesGATA2_PV_Missing_Neuro_Immune_Epi_Germ_SMC,ovary_Supp_PV_MesLHX9_preGran_MesGATA2_Endo_CoelEpi_Missing_Neuro_Epi_Immune,ovary_preGran_Supp_CoelEpi_MesLHX9_MesGATA2_Missing_Neuro_PV_Immune_Epi,ovary_preGran_Supp_Missing_MesLHX9_MesGATA2_CoelEpi_Endo_Neuro_Epi_Immune	RPTOR
Ensembl Genes	2336	PCBD1	59	1.848877e-5	3.471636e-1	5.884129e-3	7.358132e+0	1.087232e+0	8	1.329623e-4	9.783539e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_preGran_MesLHX9_Missing_MesGATA2_Supp_Endo_Neuro_Epi_Immune_PV,ovary_Endo_MesLHX9_PV_preGran_MesGATA2_CoelEpi_Missing_Supp_Neuro_Epi_Germ,ovary_MesGATA2_Supp_MesLHX9_preGran_Endo_CoelEpi_Neuro_Epi_Immune_Germ_Missing,ovary_MesLHX9_Supp_MesGATA2_CoelEpi_preGran_Neuro_Endo_Epi_PV_Missing,ovary_MesLHX9_Supp_preGran_MesGATA2_Endo_CoelEpi_Missing_Neuro,ovary_MesLHX9_preGran_Supp_MesGATA2_Missing_CoelEpi_Neuro_Epi_PV_Endo,ovary_Supp_MesGATA2_MesLHX9_Missing_preGran_Endo_PV_Neuro_CoelEpi_Immune,ovary_preGran_MesLHX9_Supp_MesGATA2_CoelEpi_Missing_Neuro_PV_Endo_SMC	PCBD1
Ensembl Genes	18755	PTPA	60	1.945279e-5	3.652650e-1	6.087751e-3	6.280356e+0	1.433040e+0	9	1.752525e-4	1.100648e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_Missing_MesLHX9_preGran_PV_Endo_Epi_Neuro_Supp_CoelEpi,ovary_MesGATA2_preGran_Endo_PV_CoelEpi_MesLHX9_Supp_Missing_Epi_Neuro_Immune_SMC,ovary_MesLHX9_MesGATA2_CoelEpi_Supp_preGran_Endo_PV_Missing_Neuro_Epi,ovary_MesLHX9_MesGATA2_preGran_Supp_Endo_Missing_CoelEpi_Epi_Neuro_Immune_Germ_PV,ovary_MesLHX9_Missing_MesGATA2_Supp_Endo_CoelEpi_PV_preGran_Neuro_Epi_Immune,ovary_Missing_MesLHX9_preGran_CoelEpi_Endo_MesGATA2_Supp_Immune_PV_Epi_Neuro,ovary_Supp_MesGATA2_MesLHX9_CoelEpi_Missing_Endo_preGran_Epi_Neuro_PV_Immune_Germ_SMC,ovary_Supp_preGran_MesLHX9_CoelEpi_Endo_Missing_MesGATA2_Epi_Neuro_PV,ovary_preGran_MesGATA2_Endo_MesLHX9_Supp_CoelEpi_Neuro_PV_Missing_Immune	PTPA
Ensembl Genes	17705	FGFR1	61	1.990947e-5	3.738401e-1	6.128527e-3	7.281182e+0	1.098723e+0	8	1.343675e-4	9.783539e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesLHX9_Endo_CoelEpi_MesGATA2_preGran_Supp_Missing_PV_Neuro_Epi,ovary_MesLHX9_Missing_MesGATA2_preGran_CoelEpi_Supp_Epi,ovary_Missing_PV_MesLHX9_Supp_MesGATA2_Endo_preGran_CoelEpi_Epi_Neuro_Germ,ovary_Supp_MesLHX9_Endo_preGran_MesGATA2_PV_CoelEpi_Neuro_Missing_Epi,ovary_Supp_preGran_MesLHX9_Endo_MesGATA2_Missing_CoelEpi_PV_Neuro_Epi,ovary_preGran_MesLHX9_Supp_MesGATA2_CoelEpi_PV_Endo_Missing_Neuro_Immune,ovary_preGran_Missing_MesLHX9_CoelEpi_MesGATA2_Supp_Endo_Neuro_PV_Epi,ovary_preGran_PV_CoelEpi_MesLHX9_Missing_MesGATA2_Endo_Neuro_Epi_Supp	FGFR1
Ensembl Genes	15753	ZBED9	62	2.038880e-5	3.828405e-1	6.174847e-3	7.256603e+0	1.102444e+0	8	1.348226e-4	9.783539e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_CoelEpi_MesLHX9_PV_Missing_preGran_Supp_Neuro_Epi_Germ,ovary_MesGATA2_MesLHX9_Missing_preGran_Supp_Endo_CoelEpi_Epi_PV_Neuro_Immune_Germ,ovary_MesGATA2_preGran_MesLHX9_Missing_Supp_CoelEpi_Endo_PV_Neuro_Epi_Immune,ovary_Missing_MesGATA2_MesLHX9_preGran_Supp_PV_CoelEpi_Endo_Neuro_Immune_Epi,ovary_Supp_CoelEpi_MesLHX9_Endo_PV_MesGATA2_Missing_preGran_Neuro_Immune_Epi,ovary_Supp_CoelEpi_preGran_MesGATA2_MesLHX9_Missing_PV_Endo_Epi_Immune_Neuro_Germ,ovary_Supp_preGran_CoelEpi_MesLHX9_MesGATA2_Missing_Neuro_PV_Endo_Epi_Immune,ovary_preGran_Supp_MesLHX9_CoelEpi_MesGATA2_PV_Missing_Endo_Epi_Neuro	ZBED9
Ensembl Genes	19706	BGN	63	2.095034e-5	3.933845e-1	6.244199e-3	2.589734e+1	1.544560e-1	4	1.888908e-5	4.891770e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_preGran_MesGATA2_PV_Missing_Endo_Supp_Neuro_Epi,ovary_MesLHX9_preGran_CoelEpi_Endo_Supp_PV_Missing_Neuro_MesGATA2_Epi,ovary_Supp_MesLHX9_MesGATA2_CoelEpi_preGran_Missing_Endo_PV_Neuro_SMC_Epi_Germ,ovary_Supp_MesLHX9_Missing_MesGATA2_CoelEpi_preGran_Endo_Neuro_Immune_PV_Epi	BGN
Ensembl Genes	12807	FAM19A5	64	2.189687e-5	4.111575e-1	6.424336e-3	3.233347e+0	5.566986e+0	18	6.808103e-4	2.201296e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_Supp_preGran_MesLHX9_Missing_PV_MesGATA2_Neuro_Epi_SMC_Endo,ovary_CoelEpi_preGran_Supp_Missing_Endo_MesLHX9_MesGATA2_Neuro_Germ,ovary_MesGATA2_CoelEpi_preGran_MesLHX9_Missing_Supp_Neuro_PV_Epi_Endo_SMC_Immune,ovary_MesGATA2_Supp_MesLHX9_Missing_Endo_preGran_PV_CoelEpi_Neuro_Epi_Germ,ovary_MesGATA2_preGran_MesLHX9_Supp_Missing_Endo_CoelEpi_Neuro_PV_SMC_Immune_Epi,ovary_MesLHX9_CoelEpi_Missing_MesGATA2_Supp_Endo_preGran_Neuro_PV_Epi,ovary_MesLHX9_Supp_Endo_preGran_CoelEpi_MesGATA2_Missing_Neuro_PV_Epi,ovary_MesLHX9_Supp_preGran_Endo_MesGATA2_CoelEpi_Missing_Neuro_Epi,ovary_MesLHX9_preGran_CoelEpi_Supp_MesGATA2_Missing_Endo_Neuro_SMC_Epi_PV,ovary_Missing_MesGATA2_CoelEpi_Supp_MesLHX9_preGran_Neuro_PV_Epi,ovary_PV_CoelEpi_MesGATA2_MesLHX9_preGran_Supp_Missing_Neuro_Immune_Epi_Endo,ovary_Supp_CoelEpi_MesLHX9_preGran_MesGATA2_PV_Neuro_Epi_Endo,ovary_Supp_CoelEpi_preGran_Missing_Endo_MesGATA2_MesLHX9_Neuro_Epi,ovary_Supp_MesLHX9_MesGATA2_preGran_CoelEpi_Endo_Missing_PV_Immune_Epi_Neuro,ovary_Supp_MesLHX9_preGran_MesGATA2_CoelEpi_Missing_Endo_PV_Epi,ovary_Supp_Missing_preGran_MesGATA2_MesLHX9_CoelEpi_Neuro_Epi_PV_Endo,ovary_Supp_preGran_CoelEpi_MesLHX9_Endo_MesGATA2_Missing_Neuro_Epi_SMC_PV,ovary_preGran_Supp_MesLHX9_CoelEpi_Endo_MesGATA2_PV_Neuro_Epi_Missing	FAM19A5
Ensembl Genes	8322	MSI2	65	2.222743e-5	4.173645e-1	6.420992e-3	5.463245e+0	1.830414e+0	10	2.238491e-4	1.222942e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_MesLHX9_PV_preGran_Supp_Endo_CoelEpi_Neuro_Missing_Epi,ovary_MesLHX9_MesGATA2_CoelEpi_preGran_Supp_Missing_Neuro_PV_Epi_SMC_Endo,ovary_MesLHX9_Supp_preGran_CoelEpi_MesGATA2_Missing_PV_Neuro,ovary_MesLHX9_preGran_Supp_Missing_MesGATA2_Endo_PV_CoelEpi_Neuro_Epi,ovary_Supp_CoelEpi_MesLHX9_preGran_MesGATA2_Missing_PV_Neuro_Epi_Immune_Endo,ovary_Supp_MesLHX9_MesGATA2_preGran_CoelEpi_Missing_PV_Epi_Neuro_Endo,ovary_Supp_MesLHX9_preGran_MesGATA2_CoelEpi_Endo_Missing_PV_Neuro_Epi_Immune,ovary_Supp_MesLHX9_preGran_PV_Missing_CoelEpi_MesGATA2_Neuro_Endo_Germ,ovary_Supp_Missing_MesLHX9_preGran_MesGATA2_CoelEpi_PV_Endo_Neuro_Epi_Immune,ovary_Supp_preGran_Missing_MesGATA2_MesLHX9_CoelEpi_Endo_Epi_Neuro_PV	MSI2
Ensembl Genes	18758	NTMT1	66	2.274126e-5	4.270126e-1	6.469888e-3	6.154525e+0	1.462339e+0	9	1.788356e-4	1.100648e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_Missing_MesLHX9_preGran_PV_Endo_Epi_Neuro_Supp_CoelEpi,ovary_MesGATA2_preGran_Endo_PV_CoelEpi_MesLHX9_Supp_Missing_Epi_Neuro_Immune_SMC,ovary_MesLHX9_MesGATA2_CoelEpi_Supp_preGran_Endo_PV_Missing_Neuro_Epi,ovary_MesLHX9_MesGATA2_preGran_Supp_Endo_Missing_CoelEpi_Epi_Neuro_Immune_Germ_PV,ovary_MesLHX9_Missing_MesGATA2_Supp_Endo_CoelEpi_PV_preGran_Neuro_Epi_Immune,ovary_Missing_MesLHX9_preGran_CoelEpi_Endo_MesGATA2_Supp_Immune_PV_Epi_Neuro,ovary_Supp_MesGATA2_MesLHX9_CoelEpi_Missing_Endo_preGran_Epi_Neuro_PV_Immune_Germ_SMC,ovary_Supp_preGran_MesLHX9_CoelEpi_Endo_Missing_MesGATA2_Epi_Neuro_PV,ovary_preGran_MesGATA2_Endo_MesLHX9_Supp_CoelEpi_Neuro_PV_Missing_Immune	NTMT1
Ensembl Genes	15754	TRIM27	67	2.685394e-5	5.042364e-1	7.525917e-3	6.977208e+0	1.146590e+0	8	1.402214e-4	9.783539e-4	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_CoelEpi_MesLHX9_PV_Missing_preGran_Supp_Neuro_Epi_Germ,ovary_MesGATA2_MesLHX9_Missing_preGran_Supp_Endo_CoelEpi_Epi_PV_Neuro_Immune_Germ,ovary_MesGATA2_preGran_MesLHX9_Missing_Supp_CoelEpi_Endo_PV_Neuro_Epi_Immune,ovary_Missing_MesGATA2_MesLHX9_preGran_Supp_PV_CoelEpi_Endo_Neuro_Immune_Epi,ovary_Supp_CoelEpi_MesLHX9_Endo_PV_MesGATA2_Missing_preGran_Neuro_Immune_Epi,ovary_Supp_CoelEpi_preGran_MesGATA2_MesLHX9_Missing_PV_Endo_Epi_Immune_Neuro_Germ,ovary_Supp_preGran_CoelEpi_MesLHX9_MesGATA2_Missing_Neuro_PV_Endo_Epi_Immune,ovary_preGran_Supp_MesLHX9_CoelEpi_MesGATA2_PV_Missing_Endo_Epi_Neuro	TRIM27
